9;-1
-12;6
-21;-3
-6;-3
1;-3
0;-1
-7;-3
9;2
-7;-3
-19;-7
-23;-3
-11;-2
-21;-1
-8;-3
11;-1
0;-3
16;-3
-23;-2
8;-2
-10;-1
14;-1
3;-3
4;-3
-14;-2
13;-1
10;-1
16;-11
-9;-1
11;-6
-22;-2
7;-2
4;-11
-21;-2
-20;-3
-7;-1
-17;2
6;-3
-21;-2
-11;-3
16;-8
-13;-3
2;-1
-2;-9
13;5
-19;-11
11;7
12;-7
9;-2
-10;-2
-14;2
4;-1
-2;-1
-1;-8
-14;-3
-15;-3
-11;-1
-16;-3
10;-3
11;-1
16;-1
-9;-7
-13;6
3;-1
7;-1
-2;-9
-17;-3
-12;5
-17;-2
-24;2
-3;-3
6;7
10;-1
9;2
15;-3
2;-3
-16;-1
-7;-7
8;-10
-15;-10
11;-3
1;-3
5;-1
6;-2
3;-2
-12;-2
3;-11
16;-3
-7;-1
-21;-1
-12;-1
-22;-1
-18;-1
-15;-8
-23;-2
0;-1
9;-3
15;-1
-9;-7
-24;-7
12;-3
15;-2
-24;-1
-6;-2
7;-3
13;-11
-21;4
16;-1
-5;-3
-2;6
13;-11
-13;-2
8;-1
-15;-10
-7;-11
-16;-2
4;-8
1;-1
4;-2
2;-1
-13;-1
-12;4
-23;-3
-8;-1
-21;4
-6;-1
-10;-3
-18;-2
-7;5
4;-8
16;-7
-20;-2
5;2
-14;2
-1;-3
-23;-9
-5;-2
12;-2
-9;-3
-7;3
-2;-10
-4;-1
-12;-3
-5;7
14;-3
0;3
-19;-2
-18;-3
-3;2
-6;-3
-19;-1
-5;-3
-2;-10
13;-3
-19;-11
8;-1
-3;-10
-20;7
-2;-3
0;-3
-4;-2
-12;4
16;-7
-3;2
-20;-2
3;-2
-17;2
-4;-3
12;-7
-11;-1
-3;-1
-17;-1
7;-2
-6;7
11;-2
15;-2
-22;-11
7;-6
-7;-11
13;2
-16;-3
-14;-6
-19;-2
-20;-1
-23;-1
-21;5
-22;-1
10;7
13;5
-1;5
4;-3
-24;-3
-21;-3
-11;4
4;-7
6;-1
-14;-1
8;2
-15;-1
-2;-8
-14;-2
8;-3
-5;7
8;-10
-13;-3
-7;3
14;-2
-10;-11
-16;-2
-18;-1
14;-2
-24;-3
12;-1
2;-3
4;6
-5;-1
-16;4
-2;-1
-2;-3
8;-3
-15;-3
9;-8
14;-1
3;7
-20;-3
-14;-3
-5;-2
-12;5
-23;4
9;4
-12;-2
-1;-1
8;-8
5;-2
-4;-1
-8;-1
14;-3
3;-3
-5;-1
-19;-3
-20;-1
13;-2
-9;-1
-15;-6
-14;-6
-22;-3
-16;4
3;-11
-3;-10
5;-3
15;-1
-3;-1
-15;-1
-9;-8
6;-3
5;2
